l_english:
gfm_hfm_commit_genocide;Systematic Extermination Campaign;Campagne d'extermination systématique;Systematische Vernichtungskampagne;Campagna di sterminio sistematico;Campaña de exterminio sistemático;;x
gfm_hfm_commit_genocide_desc;Authorize a state-led campaign of extermination against internal minorities. This follows the old HFM hardline policy path and will permanently scar the nation and world opinion.;Autoriser une campagne d'extermination menée par l'État contre les minorités intérieures. Cette voie extrême de l'ancien HFM marquera durablement la nation et l'opinion mondiale.;Autorisieren Sie eine staatlich geführte Vernichtungskampagne gegen innere Minderheiten. Dieser harte alte HFM-Pfad wird Nation und Weltmeinung dauerhaft prägen.;Autorizza una campagna di sterminio guidata dallo stato contro le minoranze interne. Questo percorso estremo dell'antico HFM segnerà in modo permanente la nazione e l'opinione mondiale.;Autoriza una campaña de exterminio dirigida por el estado contra las minorías internas. Esta vía extrema del antiguo HFM marcará permanentemente a la nación y a la opinión mundial.;;x
gfm_hfm_genocide.1.t;The Extermination Directives;Les directives d'extermination;Die Vernichtungsdirektiven;Le direttive di sterminio;Las directivas de exterminio;;x
gfm_hfm_genocide.1.d;The cabinet demands immediate action against a designated minority. The old HFM apparatus can be revived to execute this policy at terrible human and diplomatic cost.;Le cabinet exige une action immédiate contre une minorité désignée. L'ancien appareil HFM peut être réactivé pour exécuter cette politique à un coût humain et diplomatique terrible.;Das Kabinett verlangt sofortige Maßnahmen gegen eine bestimmte Minderheit. Der alte HFM-Apparat kann reaktiviert werden, um diese Politik mit schrecklichen menschlichen und diplomatischen Kosten umzusetzen.;Il governo richiede un'azione immediata contro una minoranza designata. Il vecchio apparato HFM può essere riattivato per attuare questa politica con terribili costi umani e diplomatici.;El gabinete exige una acción inmediata contra una minoría designada. El viejo aparato de HFM puede reactivarse para ejecutar esta política con terribles costos humanos y diplomáticos.;;x
gfm_hfm_genocide.1.a;Target Cultural Minorities;Cibler les minorités culturelles;Kulturelle Minderheiten ins Visier nehmen;Prendere di mira le minoranze culturali;Objetivo: minorías culturales;;x
gfm_hfm_genocide.1.b;Target Religious Minorities;Cibler les minorités religieuses;Religiöse Minderheiten ins Visier nehmen;Prendere di mira le minoranze religiose;Objetivo: minorías religiosas;;x
gfm_hfm_genocide.1.c;Abort the operation;Annuler l'opération;Operation abbrechen;Annullare l'operazione;Abortar la operación;;x
gfm_hfm_genocide.2.t;Systematic Extermination Begins;L'extermination systématique commence;Die systematische Vernichtung beginnt;Inizia lo sterminio sistematico;Comienza el exterminio sistemático;;x
gfm_hfm_genocide.2.d;Security services begin mass arrests, deportations, and killings. The operation devastates provinces and shocks the world.;Les services de sécurité lancent des arrestations, déportations et massacres de masse. L'opération dévaste les provinces et choque le monde.;Sicherheitsdienste beginnen mit Massenverhaftungen, Deportationen und Tötungen. Die Operation verwüstet Provinzen und schockiert die Welt.;I servizi di sicurezza avviano arresti, deportazioni e uccisioni di massa. L'operazione devasta le province e sconvolge il mondo.;Los servicios de seguridad inician arrestos, deportaciones y matanzas masivas. La operación devasta provincias y conmociona al mundo.;;x
gfm_hfm_genocide.2.a;No mercy.;Aucune pitié.;Keine Gnade.;Nessuna pietà.;Sin piedad.;;x
gfm_hfm_genocide.3.t;International Outrage;Indignation internationale;Internationale Empörung;Indignazione internazionale;Indignación internacional;;x
gfm_hfm_genocide.3.d;Foreign newspapers publish evidence of organized extermination. Diplomatic pressure and revolutionary agitation surge.;Les journaux étrangers publient des preuves d'extermination organisée. La pression diplomatique et l'agitation révolutionnaire montent.;Ausländische Zeitungen veröffentlichen Beweise organisierter Vernichtung. Diplomatischer Druck und revolutionäre Agitation nehmen zu.;I giornali esteri pubblicano prove di uno sterminio organizzato. Pressione diplomatica e agitazione rivoluzionaria aumentano.;Los periódicos extranjeros publican pruebas de exterminio organizado. Aumentan la presión diplomática y la agitación revolucionaria.;;x
gfm_hfm_genocide.3.a;The world condemns us.;Le monde nous condamne.;Die Welt verurteilt uns.;Il mondo ci condanna.;El mundo nos condena.;;x
gfm_hfm_recent_genocide;Recent Genocide;Génocide récent;Jüngster Völkermord;Genocidio recente;Genocidio reciente;;x
gfm_hfm_recent_genocide_desc;Mass killings and deportations shattered this province's social and economic structure.;Les massacres et les déportations ont brisé la structure sociale et économique de cette province.;Massenmorde und Deportationen haben die soziale und wirtschaftliche Struktur dieser Provinz zerstört.;Le uccisioni di massa e le deportazioni hanno distrutto la struttura sociale ed economica di questa provincia.;Las matanzas masivas y deportaciones quebraron la estructura social y económica de esta provincia.;;x
gfm_hfm_genocide_cooldown;Administrative Exhaustion;Épuisement administratif;Administrative Erschöpfung;Esaurimento amministrativo;Agotamiento administrativo;;x
gfm_hfm_genocide_cooldown_desc;State institutions remain strained after systematic extermination operations.;Les institutions de l'État restent sous tension après des opérations d'extermination systématique.;Staatliche Institutionen bleiben nach systematischen Vernichtungsoperationen belastet.;Le istituzioni statali restano sotto pressione dopo operazioni di sterminio sistematico.;Las instituciones estatales siguen tensionadas tras operaciones de exterminio sistemático.;;x
